timestamp_unix,timestamp_iso_utc,cpu_percent
1759821840,2025-10-07T07:24:00+00:00,1.4999999999417923
1759821855,2025-10-07T07:24:15+00:00,0.8333333336243669
1759821870,2025-10-07T07:24:30+00:00,2.3333333335661735
1759821885,2025-10-07T07:24:45+00:00,0.9999999999611902
1759821900,2025-10-07T07:25:00+00:00,99.83333333342064
1759821915,2025-10-07T07:25:15+00:00,100.0
1759821930,2025-10-07T07:25:30+00:00,100.0
1759821945,2025-10-07T07:25:45+00:00,99.5000000000194
1759821960,2025-10-07T07:26:00+00:00,99.83333333317812
1759821975,2025-10-07T07:26:15+00:00,100.0
1759821990,2025-10-07T07:26:30+00:00,100.0
1759822005,2025-10-07T07:26:45+00:00,100.0
1759822020,2025-10-07T07:27:00+00:00,96.33333333331393
1759822035,2025-10-07T07:27:15+00:00,2.000000000164931
1759822050,2025-10-07T07:27:30+00:00,2.3333333330811
1759822065,2025-10-07T07:27:45+00:00,79.6666666668898
1759822080,2025-10-07T07:28:00+00:00,100.0
1759822095,2025-10-07T07:28:15+00:00,98.83333333321691
1759822110,2025-10-07T07:28:30+00:00,100.0
1759822125,2025-10-07T07:28:45+00:00,100.0
1759822140,2025-10-07T07:29:00+00:00,95.66666666675398
1759822155,2025-10-07T07:29:15+00:00,1.3333333333624466
1759822170,2025-10-07T07:29:30+00:00,2.3333333328385777
1759822185,2025-10-07T07:29:45+00:00,96.3333333330714
1759822200,2025-10-07T07:30:00+00:00,100.0
1759822215,2025-10-07T07:30:15+00:00,100.0
1759822230,2025-10-07T07:30:30+00:00,88.66666666678309
1759822245,2025-10-07T07:30:45+00:00,98.83333333345945
1759822260,2025-10-07T07:31:00+00:00,97.1666666662107
1759822275,2025-10-07T07:31:15+00:00,79.16666666618161
1759822290,2025-10-07T07:31:30+00:00,94.9999999999515
1759822305,2025-10-07T07:31:45+00:00,1.3333333331198958
1759822320,2025-10-07T07:32:00+00:00,1.6666666670062114
